ID,DateTime,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A683412,2014-07-14 12:35:00,Adoption,Cat,Intact Male,2 months,Siamese Mix,Flame Point
A670948,2014-01-17 13:33:00,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby
A687386,2014-09-06 09:00:00,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Black
A687866,2014-09-11 14:35:00,Euthanasia,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue Tabby
A687199,2014-09-03 09:00:00,Transfer,Cat,Unknown,1 year,Domestic Medium Hair Mix,Black
A681933,2014-07-01 13:23:00,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
A676589,2014-07-26 12:10:00,Adoption,Dog,Neutered Male,2 years,Labrador Retriever/German Shepherd,Black
A680500,2014-06-04 12:25:00,Transfer,Dog,Intact Male,8 months,Lhasa Apso/Shih Tzu,Black/Brown
A705203,2015-06-15 09:00:00,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Calico
A679487,2014-05-22 19:17:00,Transfer,Cat,Unknown,1 year,Domestic Shorthair Mix,Black/White
A701008,2015-05-01 12:34:00,Transfer,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black/White
A703303,2015-06-19 16:11:00,Transfer,Dog,Spayed Female,4 years,Weimaraner Mix,Fawn
A682983,2014-07-06 13:40:00,Return_to_owner,Dog,Spayed Female,11 years,Yorkshire Terrier Mix,Tan/Black
A668535,2013-12-08 18:29:00,Adoption,Dog,Neutered Male,1 year,Miniature Pinscher Mix,Black/Tan
A715743,2016-01-26 14:41:00,Adoption,Dog,Neutered Male,5 years,Labrador Retriever Mix,Buff
A703665,2015-06-02 17:13:00,Adoption,Dog,Spayed Female,1 year,German Shepherd Mix,Black/Brown
A717298,2015-12-29 17:41:00,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black
A708514,2015-10-09 15:26:00,Transfer,Cat,Spayed Female,7 months,Domestic Shorthair Mix,Black
A712393,2015-10-07 11:44:00,Transfer,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Tan
A720636,2016-02-16 10:17:00,Transfer,Cat,Unknown,,Domestic Shorthair Mix,Black
A700174,2015-04-09 18:19:00,Return_to_owner,Cat,Spayed Female,7 years,Domestic Longhair Mix,Orange
A644391,2014-11-12 12:58:00,Adoption,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Cream Tabby
A611152,2014-07-01 14:26:00,Adoption,Dog,Neutered Male,4 years,Labrador Retriever/Beagle,Black/White
A706547,2015-07-18 19:51:00,Adoption,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Black/White
A583757,2014-08-04 11:39:00,Return_to_owner,Dog,Neutered Male,8 years,Labrador Retriever,Black
A684632,2014-07-27 09:00:00,Transfer,Cat,Intact Male,6 years,Domestic Medium Hair Mix,Brown Tabby
A570974,2014-06-09 18:38:00,Return_to_owner,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Buff/White
A690625,2014-10-24 09:00:00,Transfer,Cat,Intact Male,7 months,Domestic Shorthair Mix,Orange Tabby
A712014,2015-09-15 18:11:00,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black/White
A655710,2015-05-15 12:56:00,Transfer,Dog,Neutered Male,2 years,Catahoula Mix,White/Black
A717464,2015-12-23 13:40:00,Transfer,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Torbie
A687909,2014-09-25 18:49:00,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
A675759,2015-11-21 00:00:00,Transfer,Dog,Neutered Male,5 years,Labrador Retriever Mix,Tan
A702993,2015-05-20 11:43:00,Euthanasia,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White
A611496,2015-10-11 17:07:00,Transfer,Dog,Spayed Female,9 years,Beagle Mix,Tan/White
A697195,2015-02-20 09:00:00,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby/White
A684553,2014-10-12 17:26:00,Transfer,Dog,Neutered Male,1 year,Pit Bull Mix,Tan
A681708,2014-07-04 12:06:00,Died,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
A683844,2014-07-20 13:06:00,Transfer,Dog,Intact Male,6 months,Catahoula/Black Mouth Cur,Brown Brindle/White
A670361,2014-01-13 16:44:00,Adoption,Dog,Spayed Female,5 months,Pit Bull Mix,Brown Brindle/White
A670480,2014-01-20 14:32:00,Transfer,Dog,Spayed Female,1 year,Pit Bull Mix,Blue Smoke/Brown
A688415,2014-09-24 15:32:00,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Brown Tabby/White
A714014,2015-12-20 14:50:00,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Black/White
A681204,2014-06-18 18:25:00,Adoption,Dog,Spayed Female,2 months,Australian Cattle Dog/Labrador Retriever,Blue Merle
A706763,2015-07-18 13:02:00,Transfer,Cat,Intact Female,8 months,Domestic Medium Hair Mix,Tortie
A681270,2014-06-19 14:44:00,Transfer,Dog,Spayed Female,3 years,Cairn Terrier/Yorkshire Terrier,Brown Brindle
A686996,2014-08-30 12:57:00,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange/White
A666014,2013-10-26 12:03:00,Transfer,Cat,Unknown,4 days,Domestic Shorthair Mix,Black
A601488,2014-06-28 12:44:00,Euthanasia,Dog,Intact Male,3 years,Pit Bull Mix,Brown/White
A673524,2014-02-27 11:19:00,Transfer,Cat,Intact Male,3 days,Domestic Shorthair Mix,Brown Tabby
A666316,2013-10-31 16:21:00,Return_to_owner,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Black/Tan
A663910,2013-10-02 14:15:00,Transfer,Dog,Neutered Male,1 year,Labrador Retriever,Chocolate
A688132,2014-09-29 14:08:00,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby
A688660,2014-09-27 16:48:00,Transfer,Dog,Spayed Female,5 months,Rhod Ridgeback Mix,Brown/White
A691216,2014-10-31 19:18:00,Return_to_owner,Dog,Spayed Female,8 years,Chihuahua Shorthair/Jack Russell Terrier,Brown/White
A642415,2014-06-19 14:54:00,Return_to_owner,Cat,Spayed Female,15 years,Domestic Shorthair Mix,Black
A717699,2015-12-13 17:00:00,Return_to_owner,Dog,Intact Female,11 years,Labrador Retriever Mix,Yellow
A673467,2014-03-02 17:26:00,Adoption,Dog,Neutered Male,1 year,Cardigan Welsh Corgi/Chihuahua Shorthair,Black/Red
A685457,2014-08-24 16:15:00,Adoption,Dog,Spayed Female,4 months,Labrador Retriever Mix,Black/White
A546346,2016-02-12 16:08:00,Adoption,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Brown Tabby/White
A689484,2014-10-20 17:54:00,Adoption,Dog,Intact Male,3 months,Pit Bull Mix,Brown Brindle/White
A682126,2014-06-24 19:14:00,Transfer,Cat,Unknown,1 week,Domestic Shorthair Mix,Black/White
A670829,2014-01-16 16:03:00,Return_to_owner,Dog,Neutered Male,3 years,Dachshund Wirehair/Chihuahua Shorthair,Red
A692959,2014-11-29 14:54:00,Transfer,Dog,Intact Female,2 months,Chihuahua Shorthair Mix,Cream/White
A716829,2015-12-01 17:26:00,Adoption,Dog,Neutered Male,2 months,Manchester Terrier/Australian Kelpie,Tricolor
A691552,2014-12-09 15:55:00,Transfer,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White/Tan
A687071,2014-10-17 12:15:00,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue
A617845,2013-11-29 17:21:00,Return_to_owner,Dog,Neutered Male,2 years,Wire Hair Fox Terrier Mix,Brown
A703351,2015-06-06 13:08:00,Transfer,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie
A697660,2015-05-16 16:46:00,Return_to_owner,Dog,Neutered Male,7 years,Staffordshire/Bull Terrier,White/Black
A664932,2013-10-16 17:11:00,Transfer,Dog,Intact Female,3 years,Chihuahua Longhair Mix,White/Brown
A699396,2015-04-04 15:11:00,Transfer,Cat,Spayed Female,9 months,Domestic Shorthair Mix,Torbie
A698024,2015-03-06 11:34:00,Return_to_owner,Dog,Intact Male,2 years,Pit Bull Mix,Blue/White
A700290,2015-04-12 17:01:00,Return_to_owner,Dog,Intact Male,2 years,Pit Bull Mix,Chocolate/White
A688089,2014-09-19 14:35:00,Transfer,Cat,Intact Female,1 month,Siamese Mix,Lynx Point
A692875,2014-12-23 11:17:00,Adoption,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Black/White
A610067,2015-10-18 15:14:00,Adoption,Cat,Neutered Male,9 years,Domestic Shorthair Mix,Orange Tabby
A664515,2013-10-13 18:52:00,Adoption,Cat,Intact Female,3 months,Manx Mix,Calico
A716515,2015-11-28 18:52:00,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
A704682,2015-06-09 13:17:00,Euthanasia,Dog,Intact Male,2 years,German Shepherd Mix,Black/Brown
A666809,2013-11-08 15:50:00,Transfer,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Cream Tabby
A664611,2013-10-07 14:02:00,Return_to_owner,Dog,Spayed Female,8 months,Beagle Mix,Black/Tan
A683247,2014-07-23 10:11:00,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black/White
A709952,2015-08-15 11:10:00,Return_to_owner,Dog,Neutered Male,1 year,Pit Bull/Labrador Retriever,Tan/White
A717148,2015-12-07 19:35:00,Transfer,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black
A691405,2014-11-04 14:54:00,Euthanasia,Dog,Spayed Female,3 years,Rottweiler/Chow Chow,Tan
A697835,2015-03-05 17:08:00,Return_to_owner,Dog,Intact Female,1 year,Cardigan Welsh Corgi Mix,Red/Brown
A683856,2014-08-12 15:42:00,Adoption,Cat,Neutered Male,7 years,Russian Blue Mix,Blue
A677572,2014-06-07 12:15:00,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
A693285,2014-12-16 13:59:00,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black
A683200,2014-08-29 13:22:00,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A716036,2016-02-02 00:00:00,Transfer,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White
A681543,2014-06-18 12:49:00,Transfer,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby
A668275,2013-12-11 18:58:00,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A691995,2016-01-16 12:51:00,Transfer,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black
A699243,2015-03-25 09:00:00,Transfer,Cat,Unknown,4 months,Domestic Shorthair Mix,Seal Point
A711860,2015-10-18 15:57:00,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
A667159,2013-11-19 16:26:00,Adoption,Dog,Spayed Female,1 year,German Shepherd Mix,Tan/Black
A716255,2015-11-30 17:03:00,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A673365,2014-02-26 16:19:00,Return_to_owner,Dog,Spayed Female,3 years,Bull Terrier,Black/White
A696844,2015-02-14 14:51:00,Adoption,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue Tabby
A666018,2013-11-05 13:55:00,Return_to_owner,Dog,Neutered Male,2 years,American Bulldog/Pointer,White/Red
A684196,2014-08-23 16:26:00,Transfer,Dog,Neutered Male,3 years,Nova Scotia Duck Tolling Retriever/Golden Retriever,Red/White
A666496,2013-11-02 14:31:00,Return_to_owner,Cat,Neutered Male,1 year,Domestic Shorthair,Blue Tabby
A671559,2014-02-09 14:20:00,Adoption,Dog,Neutered Male,1 year,Boxer Mix,White/Brown
A683445,2014-07-17 07:55:00,Died,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby/White
A705880,2015-06-30 18:32:00,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue
A694717,2015-01-11 12:47:00,Adoption,Dog,Spayed Female,2 years,Pit Bull,Blue/White
A711161,2015-09-07 17:46:00,Adoption,Dog,Spayed Female,2 months,Plott Hound/Labrador Retriever,Brown Brindle
A702171,2015-05-10 11:58:00,Euthanasia,Cat,Intact Female,1 year,Domestic Shorthair Mix,White/Gray
A681698,2014-06-19 14:14:00,Euthanasia,Dog,Intact Male,1 month,Chihuahua Longhair Mix,Black/White
A706521,2015-06-30 12:21:00,Transfer,Cat,Unknown,1 week,Domestic Shorthair Mix,Cream Tabby
A709443,2015-08-16 18:39:00,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tricolor
A704959,2015-06-30 18:54:00,Adoption,Cat,Spayed Female,2 months,Domestic Longhair Mix,Calico
A700139,2015-04-20 14:09:00,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
A668365,2014-01-14 18:40:00,Adoption,Dog,Neutered Male,2 years,Rottweiler/Labrador Retriever,Black/Brown
A667523,2013-11-24 17:18:00,Adoption,Dog,Spayed Female,2 years,Rottweiler Mix,Black/Brown
A704339,2015-06-06 13:12:00,Transfer,Cat,Unknown,1 month,Domestic Shorthair,Black/White
A687004,2014-09-20 11:19:00,Adoption,Dog,Spayed Female,3 years,Pit Bull Mix,Tan/White
A693844,2014-12-18 13:29:00,Transfer,Dog,Intact Male,2 months,Manchester Terrier Mix,Brown/White
A714262,2015-10-20 19:10:00,Return_to_owner,Dog,Intact Male,2 years,Jack Russell Terrier,White/Tricolor
A671870,2014-02-05 18:32:00,Adoption,Dog,Spayed Female,8 months,German Shepherd Mix,Black/Tan
A709018,2015-09-19 16:34:00,Adoption,Dog,Neutered Male,11 months,Pit Bull Mix,Black/White
A664051,2014-02-15 16:59:00,Adoption,Dog,Spayed Female,1 year,Labrador Retriever Mix,White
A693821,2014-12-26 17:08:00,Adoption,Cat,Neutered Male,14 years,Domestic Shorthair Mix,Black
A702914,2015-05-24 18:04:00,Adoption,Dog,Spayed Female,2 months,Anatol Shepherd,Tan/Black
A704079,2015-06-01 13:46:00,Transfer,Cat,Unknown,4 days,Domestic Shorthair Mix,Blue Tabby/White
A572590,2016-02-03 17:08:00,Transfer,Dog,Spayed Female,7 years,Pit Bull Mix,Tan/White
A667269,2013-12-01 12:41:00,Adoption,Dog,Spayed Female,2 years,Belgian Malinois Mix,Brown/Black
A668289,2013-12-06 11:29:00,Transfer,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Calico
A679513,2014-05-25 12:06:00,Transfer,Dog,Intact Male,1 month,Boxer Mix,Brown/White
A667054,2013-11-16 12:40:00,Transfer,Dog,Spayed Female,15 years,Shetland Sheepdog Mix,Tricolor
A715319,2016-01-02 14:55:00,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby
A693857,2014-12-22 15:23:00,Transfer,Cat,Intact Female,10 years,Domestic Shorthair Mix,Black
A665210,2013-11-01 13:21:00,Adoption,Dog,Spayed Female,1 year,Bull Terrier Mix,White/Brown
A676793,2014-04-15 17:40:00,Return_to_owner,Dog,Spayed Female,2 years,German Shorthair Pointer Mix,Black/Blue Merle
A668318,2014-01-14 18:14:00,Transfer,Dog,Neutered Male,3 years,Pit Bull/Basset Hound,Brown/White
A700403,2015-04-13 14:03:00,Return_to_owner,Dog,Intact Female,2 years,Rottweiler Mix,Black/Brown
A691127,2014-11-05 11:22:00,Return_to_owner,Dog,Neutered Male,4 years,Maltese/Miniature Poodle,White
A642859,2014-04-19 14:06:00,Adoption,Dog,Spayed Female,9 years,Rat Terrier,White/Tricolor
A702450,2015-05-17 16:51:00,Return_to_owner,Dog,Spayed Female,1 year,Black Mouth Cur Mix,Tan/White
A716099,2015-11-22 17:18:00,Adoption,Dog,Spayed Female,5 months,Cairn Terrier Mix,Buff
A667532,2013-11-21 14:56:00,Euthanasia,Dog,Intact Male,2 years,Labrador Retriever/Pit Bull,Black
A693922,2014-12-17 11:16:00,Return_to_owner,Cat,Spayed Female,15 years,Domestic Longhair Mix,Black/White
A711563,2015-09-13 12:23:00,Return_to_owner,Dog,Neutered Male,3 years,Pit Bull Mix,Black/White
A694905,2015-01-10 18:49:00,Adoption,Dog,Spayed Female,2 years,Norfolk Terrier Mix,Brown/White
A718974,2016-01-11 11:49:00,Return_to_owner,Dog,Neutered Male,2 years,Labrador Retriever Mix,Red Tick
A705982,2015-06-24 09:00:00,Transfer,Cat,Intact Male,1 year,Siamese Mix,Lynx Point
A616456,2014-09-18 10:43:00,Euthanasia,Dog,Spayed Female,3 years,Pit Bull Mix,Brown/White
A708756,2015-08-06 14:49:00,Transfer,Cat,Spayed Female,6 months,Siamese Mix,Seal Point
A709193,2015-08-06 09:00:00,Transfer,Cat,Unknown,5 months,Domestic Shorthair Mix,White
A642867,2015-02-05 19:06:00,Euthanasia,Cat,Spayed Female,2 years,Siamese Mix,Lilac Point
A709280,2015-09-26 17:03:00,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black
A712751,2015-10-03 15:36:00,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby
A670357,2014-01-11 13:13:00,Adoption,Dog,Spayed Female,2 months,Chihuahua Shorthair Mix,Brown/Tan
A711114,2015-09-07 19:15:00,Adoption,Dog,Spayed Female,2 months,Black Mouth Cur/Catahoula,Black Brindle/White
A689102,2014-09-30 13:08:00,Return_to_owner,Dog,Neutered Male,3 years,Labrador Retriever Mix,Tan
A685366,2014-09-14 14:58:00,Transfer,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Buff/White
A690567,2014-10-22 17:40:00,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Orange Tabby/White
A663158,2013-11-03 13:48:00,Euthanasia,Dog,Neutered Male,4 years,Pit Bull Mix,Brown Brindle/White
A695302,2015-07-23 16:31:00,Adoption,Dog,Spayed Female,6 years,Pit Bull Mix,White/Chocolate
A697722,2015-02-28 15:18:00,Return_to_owner,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black
A681707,2014-07-04 18:42:00,Euthanasia,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
A675910,2014-04-02 17:47:00,Return_to_owner,Dog,Neutered Male,6 years,Australian Cattle Dog Mix,Blue Merle
A682230,2014-06-29 17:26:00,Transfer,Dog,Spayed Female,6 months,Maltese Mix,White
A430368,2014-02-21 18:09:00,Adoption,Dog,Neutered Male,7 years,Labrador Retriever Mix,Black/White
A671997,2014-02-07 16:18:00,Transfer,Dog,Neutered Male,10 months,Yorkshire Terrier/Miniature Poodle,Black/Tan
A590957,2013-12-19 13:07:00,Return_to_owner,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Blue
A695771,2015-05-25 13:38:00,Transfer,Cat,Neutered Male,10 months,Domestic Shorthair Mix,Blue/White
A674191,2014-04-11 15:33:00,Adoption,Dog,Spayed Female,1 year,Australian Cattle Dog Mix,Red Merle
A714075,2015-11-11 15:52:00,Adoption,Dog,Spayed Female,3 years,Australian Kelpie Mix,Black
A691383,2014-11-04 16:41:00,Return_to_owner,Dog,Spayed Female,3 years,Basset Hound,Tricolor
A683624,2014-08-17 17:37:00,Adoption,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black/White
A719128,2016-02-08 19:11:00,Adoption,Dog,Spayed Female,2 years,Norwich Terrier Mix,Tan/White
A667474,2014-01-03 17:41:00,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Blue/White
A669292,2013-12-18 11:37:00,Transfer,Dog,Intact Female,4 months,Chihuahua Shorthair Mix,Brown/White
A710381,2015-08-22 15:44:00,Transfer,Cat,Unknown,1 week,Domestic Shorthair Mix,Orange Tabby
A714784,2015-10-29 18:34:00,Euthanasia,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby
A697967,2015-03-08 18:19:00,Adoption,Dog,Spayed Female,4 months,Australian Kelpie Mix,Black/Brown
A680480,2014-06-07 19:01:00,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
A691294,2014-11-07 16:02:00,Transfer,Dog,Spayed Female,6 months,Blue Lacy Mix,Blue
A712807,2015-10-06 13:06:00,Transfer,Dog,Neutered Male,10 months,Belgian Malinois Mix,Tan/Black
A671562,2014-02-04 18:19:00,Return_to_owner,Dog,Spayed Female,2 years,Rat Terrier/Chihuahua Shorthair,Brown/White
A673727,2014-03-01 17:51:00,Transfer,Dog,Intact Female,1 month,Dachshund Mix,Blue/Tan
A665869,2013-11-07 18:23:00,Adoption,Dog,Neutered Male,10 months,Border Terrier/Yorkshire Terrier,Brown
A679673,2014-05-24 17:08:00,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico
A678289,2014-07-01 16:27:00,Adoption,Dog,Neutered Male,1 month,Chihuahua Shorthair/Cairn Terrier,Brown
A687434,2014-10-12 17:00:00,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
A690710,2014-10-24 18:32:00,Return_to_owner,Dog,Spayed Female,5 years,Miniature Schnauzer Mix,Silver
A712328,2015-09-25 12:15:00,Euthanasia,Cat,Intact Female,10 years,Domestic Shorthair Mix,Black/White
A714886,2015-10-31 17:48:00,Transfer,Dog,Neutered Male,6 months,Jack Russell Terrier Mix,Black/White
A714977,2015-11-07 11:56:00,Euthanasia,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
A704358,2015-06-04 09:00:00,Transfer,Cat,Unknown,2 years,Domestic Shorthair Mix,Black
A711817,2015-11-09 17:23:00,Adoption,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black/White
A549167,2014-10-26 16:08:00,Adoption,Dog,Spayed Female,6 years,Great Pyrenees/Border Collie,White/Black
A661676,2014-10-24 09:19:00,Euthanasia,Dog,Spayed Female,7 years,Pit Bull Mix,Brown/White
A712744,2015-12-21 19:27:00,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,White/Brown Tabby
A702160,2015-05-31 16:37:00,Died,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
A711841,2015-09-17 09:27:00,Transfer,Dog,Neutered Male,5 months,Labrador Retriever Mix,Black/White
A694513,2015-01-02 17:36:00,Adoption,Cat,Neutered Male,2 months,Ragdoll Mix,Flame Point
A707113,2015-09-12 17:08:00,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White
A714721,2015-10-27 12:34:00,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
A680385,2014-06-05 17:37:00,Return_to_owner,Dog,Neutered Male,2 years,Labrador Retriever/Pit Bull,Blue/White
A709299,2015-08-11 00:00:00,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A685975,2014-08-19 17:29:00,Adoption,Dog,Spayed Female,4 years,Miniature Poodle Mix,Gray/White
A709656,2015-08-13 18:14:00,Return_to_owner,Dog,Neutered Male,6 months,Pit Bull Mix,Black/White
A683306,2014-07-11 17:49:00,Return_to_owner,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Tan/White
A701397,2015-06-09 11:59:00,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A668392,2013-12-07 12:29:00,Adoption,Dog,Intact Female,2 months,Australian Shepherd Mix,Blue Merle/White
A629363,2014-12-17 12:22:00,Transfer,Dog,Neutered Male,8 years,Parson Russell Terrier Mix,White
A711713,2015-09-23 08:42:00,Transfer,Cat,Intact Male,1 month,Siamese Mix,Lynx Point
A691453,2015-12-13 15:07:00,Adoption,Dog,Neutered Male,6 years,Pit Bull Mix,Black Brindle/White
A686625,2014-08-24 15:34:00,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black
A673059,2014-02-21 17:43:00,Adoption,Dog,Neutered Male,1 month,Doberman Pinsch/Pit Bull,Black/Brown Brindle
A707897,2015-07-23 18:05:00,Adoption,Dog,Spayed Female,3 months,Chihuahua Shorthair Mix,Black/Brown
A682950,2014-08-10 15:23:00,Adoption,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Tan/White
A673635,2014-03-04 18:11:00,Adoption,Dog,Neutered Male,9 months,Miniature Pinscher Mix,Tricolor
A684069,2014-07-19 13:07:00,Transfer,Cat,Intact Female,2 weeks,Domestic Medium Hair Mix,Brown Tabby
A703762,2015-07-10 14:02:00,Transfer,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan
A684451,2014-07-24 09:00:00,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,White
A718133,2015-12-23 12:58:00,Euthanasia,Dog,Unknown,16 years,Chihuahua Shorthair,White/Silver
A651000,2014-11-15 16:38:00,Return_to_owner,Cat,Neutered Male,13 years,Domestic Shorthair,Black/White
A681459,2014-06-27 13:11:00,Return_to_owner,Dog,Neutered Male,3 years,Catahoula Mix,Brown Brindle
A695475,2015-01-17 17:26:00,Return_to_owner,Dog,Neutered Male,3 years,Lhasa Apso/Cairn Terrier,Tan/Brown
A666622,2013-11-11 18:41:00,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
A698874,2015-03-28 13:49:00,Adoption,Dog,Spayed Female,10 months,Boxer Mix,Brown
A708141,2015-08-28 15:36:00,Transfer,Dog,Spayed Female,2 years,Chinese Sharpei Mix,Tan
A708070,2015-07-22 14:49:00,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie
A700566,2015-07-22 09:16:00,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue Tabby
A684874,2014-11-23 17:18:00,Adoption,Dog,Spayed Female,1 year,Plott Hound Mix,Brown Brindle/White
A711594,2015-09-13 16:36:00,Transfer,Dog,Intact Male,2 months,Yorkshire Terrier/Chihuahua Longhair,Gray
A690483,2014-11-13 15:48:00,Adoption,Dog,Intact Male,2 months,Border Terrier Mix,Tan
A698789,2015-03-22 17:46:00,Adoption,Dog,Neutered Male,2 months,Redbone Hound Mix,Tricolor
A667452,2013-11-22 17:02:00,Adoption,Dog,Neutered Male,3 years,Chihuahua Longhair Mix,Tricolor
A665342,2013-12-31 16:23:00,Adoption,Dog,Neutered Male,7 months,Chesa Bay Retr Mix,Chocolate/White
A690269,2015-01-27 16:26:00,Adoption,Dog,Spayed Female,11 months,Labrador Retriever Mix,Yellow
A666473,2013-11-07 12:45:00,Adoption,Dog,Spayed Female,3 years,Queensland Heeler Mix,Black/White
A689794,2014-10-21 13:16:00,Euthanasia,Dog,Neutered Male,2 years,Australian Cattle Dog/Pit Bull,Black/White
A681505,2014-06-26 14:03:00,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A667195,2014-02-17 11:20:00,Adoption,Dog,Spayed Female,7 years,Labrador Retriever/Beagle,Black/White
A691207,2014-12-05 17:13:00,Transfer,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
A691280,2014-12-08 17:58:00,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A693188,2014-12-04 09:00:00,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Blue Tabby
A656387,2013-10-12 19:00:00,Return_to_owner,Dog,Neutered Male,2 years,Labrador Retriever/Chow Chow,Red/White
A671596,2014-02-04 14:09:00,Transfer,Dog,Spayed Female,4 months,Pit Bull Mix,Brown/White
A681190,2014-08-19 16:20:00,Transfer,Dog,Spayed Female,4 years,American Pit Bull Terrier/Catahoula,White/Tan
A690431,2015-01-03 13:34:00,Adoption,Cat,Spayed Female,3 months,Domestic Longhair Mix,Black
A666895,2013-12-16 12:31:00,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
